Shop ID,Total Number of Listings
Shop_2727,2063
Shop_21177,2059
Shop_17105,2059
Shop_43770,2058
Shop_52063,2058
Shop_732,2057
Shop_4915,2056
Shop_37058,2056
Shop_183,2054
Shop_8775,2054
Shop_34076,2054
Shop_1046,2052
Shop_57832,2052
Shop_15814,2052
Shop_1736,2052
Shop_84927,2049
Shop_3462,2048
Shop_67656,2047
Shop_92,2047
Shop_63759,2046
Shop_10079,2045
Shop_15503,2044
Shop_37888,2044
Shop_27791,2044
Shop_8347,2043
Shop_45,2042
Shop_23958,2042
Shop_33418,2040
Shop_80117,2039
Shop_10231,2039
Shop_8521,2039
Shop_14164,2037
Shop_29671,2036
Shop_41861,2034
Shop_19956,2034
Shop_5665,2033
Shop_32767,2033
Shop_9952,2033
Shop_54952,2032
Shop_8,2032
Shop_769,2031
Shop_123,2030
Shop_1415,2028
Shop_1429,2027
Shop_2212,2026
Shop_2792,2026
Shop_6270,2025
Shop_79383,2024
Shop_22494,2024
Shop_4482,2024
Shop_19556,2023
Shop_2065,2019
Shop_17896,2018
Shop_6140,2018
Shop_475,2017
Shop_17897,2016
Shop_28508,2012
Shop_1790,2012
Shop_49937,2011
Shop_440,2011
Shop_40227,2010
Shop_1558,2010
Shop_27203,2009
Shop_32414,2007
Shop_2579,2004
Shop_1471,2004
Shop_72659,2003
Shop_1960,2003
Shop_253,2003
Shop_5779,2002
Shop_22127,2002
Shop_48757,2000
Shop_52075,2000
Shop_8219,1998
Shop_8232,1998
Shop_28263,1998
Shop_481,1995
Shop_979,1992
Shop_620,1991
Shop_1836,1990
Shop_206,1990
Shop_6299,1986
Shop_6795,1984
Shop_27446,1981
Shop_166,1981
Shop_124,1981
Shop_2652,1980
Shop_24018,1979
Shop_5039,1976
Shop_94390,1976
Shop_2588,1975
Shop_1904,1975
Shop_42447,1975
Shop_66332,1973
Shop_30783,1972
Shop_2237,1971
Shop_1956,1971
Shop_1084,1970
Shop_6538,1968
Shop_2633,1968
Shop_524,1967
Shop_7007,1967
Shop_172,1964
Shop_4029,1963
Shop_4409,1963
Shop_4042,1963
Shop_4105,1962
Shop_26911,1962
Shop_2892,1962
Shop_8133,1961
Shop_66538,1961
Shop_28309,1961
Shop_92918,1959
Shop_2440,1958
Shop_51180,1957
Shop_41511,1956
Shop_2094,1955
Shop_21724,1955
Shop_1339,1953
Shop_105640,1951
Shop_7182,1948
Shop_90906,1947
Shop_1456,1947
Shop_2578,1947
Shop_6695,1947
Shop_19630,1946
Shop_63752,1946
Shop_18835,1945
Shop_9,1944
Shop_15008,1944
Shop_19837,1943
Shop_49834,1943
Shop_1420,1942
Shop_955,1941
Shop_3254,1940
Shop_2899,1940
Shop_36684,1940
Shop_735,1939
Shop_31482,1939
Shop_25,1938
Shop_745,1937
Shop_1647,1937
Shop_57633,1936
Shop_1677,1936
Shop_7647,1936
Shop_385,1935
Shop_28162,1935
Shop_409,1933
Shop_21760,1932
Shop_33163,1929
Shop_3729,1929
Shop_59288,1928
Shop_733,1927
Shop_67599,1922
Shop_27898,1922
Shop_6960,1920
Shop_48415,1919
Shop_5111,1918
Shop_2906,1915
Shop_70392,1912
Shop_55454,1911
Shop_1999,1910
Shop_25173,1907
Shop_49404,1906
Shop_1636,1906
Shop_5986,1903
Shop_19877,1903
Shop_20145,1901
Shop_7082,1900
Shop_2794,1899
Shop_6667,1899
Shop_2254,1897
Shop_3910,1897
Shop_54350,1897
Shop_2506,1896
Shop_29144,1896
Shop_20347,1895
Shop_29630,1895
Shop_16419,1894
Shop_70,1894
Shop_22661,1894
Shop_6170,1893
Shop_13060,1892
Shop_27574,1890
Shop_23775,1888
Shop_29158,1888
Shop_3173,1887
Shop_4115,1887
Shop_8335,1887
Shop_5738,1886
Shop_982,1886
Shop_21417,1885
Shop_28317,1882
Shop_28591,1881
Shop_1875,1881
Shop_21951,1881
Shop_266,1880
Shop_3750,1880
Shop_51625,1879
Shop_295,1878
Shop_297,1878
Shop_21610,1874
Shop_284,1873
Shop_11114,1873
Shop_29933,1871
Shop_10330,1870
Shop_16072,1870
Shop_5442,1868
Shop_393,1868
Shop_1226,1868
Shop_2990,1866
Shop_997,1866
Shop_14948,1866
Shop_53574,1865
Shop_6856,1864
Shop_5699,1864
Shop_12757,1863
Shop_12769,1862
Shop_3604,1862
Shop_25717,1862
Shop_44077,1861
Shop_406,1861
Shop_1504,1858
Shop_14669,1856
Shop_34676,1855
Shop_28517,1855
Shop_18035,1855
Shop_7450,1853
Shop_9514,1852
Shop_3399,1852
Shop_6982,1852
Shop_48596,1851
Shop_15625,1850
Shop_15626,1850
Shop_7544,1849
Shop_6287,1847
Shop_230,1847
Shop_10796,1845
Shop_29237,1845
Shop_186,1844
Shop_10478,1844
