Shop ID,Average Price($)
Shop_40265,10.8984
Shop_41106,12.3192
Shop_88706,2.5416
Shop_81037,3.8112
Shop_149046,
Shop_147280,128.1264
Shop_161014,1084.9992
Shop_141289,33.54
Shop_146580,49.644
Shop_157794,151.9752
Shop_117393,10.572
Shop_111949,6.8904
Shop_103321,26.3928
Shop_118614,72.4872
Shop_137896,33.948
Shop_103957,3.384
Shop_137881,22.1328
Shop_128291,6.7872
Shop_76680,9.096
Shop_147132,33.876
Shop_127208,75.2112
Shop_119646,12.06
Shop_68178,150.4224
Shop_94954,8.112
Shop_124036,25.6728
Shop_101253,14.868
Shop_137664,5.6088
Shop_133044,6.264
Shop_66674,8.7168
Shop_149818,29.5728
Shop_149817,
Shop_155260,28.9344
Shop_128687,116.9448
Shop_142091,
Shop_70542,4.512
Shop_140054,17.1336
Shop_144223,22.56
Shop_104177,23.6928
Shop_147192,28.4328
Shop_135151,135.7608
Shop_82198,250.6392
Shop_110662,9.8304
Shop_153289,
Shop_53856,8.136
Shop_125532,18.876
Shop_144517,235.863
Shop_74815,11.856
Shop_83504,33.6264
Shop_142483,26.076
Shop_85073,3.132
Shop_56391,5.544
Shop_61077,7.0104
Shop_26375,8.628
Shop_146584,
Shop_121545,
Shop_139776,
Shop_131598,22.32
Shop_148866,47.6304
Shop_148508,31.52
Shop_139545,16.0848
Shop_139348,58.6152
Shop_95354,98.0376
Shop_71664,8.76
Shop_105744,39.1176
Shop_95168,17.0856
Shop_93892,40.8888
Shop_133548,2.5248
Shop_87784,32.1864
Shop_144005,33.8256
Shop_67432,36.5736
Shop_115252,160.9992
Shop_142688,27.648
Shop_75935,21.4776
Shop_99875,22.8504
Shop_68216,70.08
Shop_132376,17.9592
Shop_133637,20.5008
Shop_114264,19.6344
Shop_119734,36.9648
Shop_122381,114.0552
Shop_61388,7.9872
Shop_90574,264.828
Shop_131839,10.2336
Shop_107804,5.6544
Shop_141508,18.27
Shop_105747,21.7944
Shop_163114,30.552
Shop_161062,31.5312
Shop_163113,
Shop_94496,3.924
Shop_66384,10.4616
Shop_77255,28.152
Shop_136625,70.0584
Shop_149541,372.4392
Shop_96575,49.344
Shop_99348,7.176
Shop_147354,
Shop_141164,
Shop_107917,13.6992
Shop_135476,4.8192
Shop_143251,75.2112
Shop_160212,271.452
Shop_129462,
Shop_33495,7.9944
Shop_49654,10.968
Shop_106025,23.088
Shop_132145,554.532
Shop_50059,4.488
Shop_125413,22.7664
Shop_94070,16.08
Shop_105585,25.62
Shop_108022,74.7768
Shop_145039,
Shop_121228,90.8976
Shop_139314,
Shop_52785,41.7768
Shop_86994,7.9776
Shop_132358,2.472
Shop_159127,29.916
Shop_102250,4.368
Shop_11718,2.448
Shop_83726,41.7
Shop_88544,29.6712
Shop_129774,38.592
Shop_146871,1.2912
Shop_137555,1.4448
Shop_143021,2.1216
Shop_159418,2.436
Shop_141372,2.448
Shop_146699,2.472
Shop_162789,2.676
Shop_149374,2.7072
Shop_162229,2.712
Shop_141788,3.132
Shop_144875,3.2136
Shop_36920,3.3552
Shop_103411,3.384
Shop_149887,3.456
Shop_89628,3.66
Shop_149422,3.684
Shop_91656,3.696
Shop_96226,3.6984
Shop_54539,3.9552
Shop_101811,3.9648
Shop_158780,4.314
Shop_143747,4.32
Shop_137115,4.3896
Shop_148343,4.512
Shop_130154,4.6152
Shop_136965,4.626
Shop_127164,4.932
Shop_133384,5.004
Shop_145314,5.22
Shop_160811,5.2296
Shop_109358,5.328
Shop_73496,5.5296
Shop_94546,5.544
Shop_88672,5.628
Shop_154270,5.736
Shop_135366,5.976
Shop_152167,5.988
Shop_156227,6.144
Shop_150624,6.156
Shop_152143,6.216
Shop_69894,6.24
Shop_120528,6.684
Shop_106726,6.777
Shop_129741,6.7872
Shop_23426,7.308
Shop_142533,7.392
Shop_162079,7.566
Shop_117705,7.9008
Shop_154145,7.956
Shop_151484,7.9896
Shop_146429,8.016
Shop_164065,8.892
Shop_128330,8.9856
Shop_142470,9.084
Shop_143247,9.396
Shop_125704,9.4752
Shop_153838,9.7536
Shop_121870,9.906
Shop_148249,10.134
Shop_108956,10.1808
Shop_119119,10.296
Shop_133365,10.308
Shop_140211,10.44
Shop_150560,10.44
Shop_153097,10.464
Shop_47830,10.524
Shop_74231,10.632
Shop_83598,10.6488
Shop_43717,10.848
Shop_112625,10.86
Shop_157173,11.028
Shop_129296,11.0664
Shop_110143,11.2848
Shop_133991,11.304
Shop_134430,11.34
Shop_141854,11.3808
Shop_139869,11.484
Shop_155901,11.604
Shop_28817,11.6352
Shop_17637,12.1104
Shop_116783,12.1176
Shop_112520,12.3216
Shop_143499,12.468
Shop_150094,12.516
Shop_78908,12.6864
Shop_139802,12.7368
Shop_134161,12.9096
Shop_163087,13.194
