Shop ID,Total Number of Sales
Shop_90739,295
Shop_146645,2
Shop_125096,31
Shop_156447,
Shop_68415,860
Shop_129897,20
Shop_129898,20
Shop_139833,6
Shop_106018,125
Shop_117600,56
Shop_104134,140
Shop_108315,108
Shop_70570,778
Shop_142029,4
Shop_141667,5
Shop_138705,7
Shop_141317,5
Shop_107952,110
Shop_105278,130
Shop_98611,192
Shop_96867,212
Shop_158178,
Shop_158179,
Shop_158180,
Shop_159122,
Shop_146859,2
Shop_154118,
Shop_89239,318
Shop_151446,
Shop_110615,92
Shop_108545,106
Shop_91511,283
Shop_74111,663
Shop_144139,3
Shop_98931,189
Shop_87983,338
Shop_124702,32
Shop_82992,435
Shop_150743,1
Shop_150744,1
Shop_92912,262
Shop_103142,148
Shop_149111,1
Shop_163035,
Shop_121515,42
Shop_154981,
Shop_124624,32
Shop_128281,23
Shop_89170,319
Shop_150697,1
Shop_150985,1
Shop_136051,10
Shop_85920,375
Shop_140456,5
Shop_97095,209
Shop_40265,2959
Shop_41106,2846
Shop_88706,326
Shop_81037,478
Shop_149046,1
Shop_147280,2
Shop_161014,
Shop_141289,5
Shop_146580,2
Shop_157794,
Shop_117393,57
Shop_111949,84
Shop_103321,146
Shop_118614,52
Shop_137896,8
Shop_103957,141
Shop_137881,8
Shop_128291,23
Shop_76680,588
Shop_147132,2
Shop_127208,25
Shop_119646,48
Shop_68178,869
Shop_94954,236
Shop_124036,34
Shop_101253,165
Shop_137664,8
Shop_133044,14
Shop_66674,930
Shop_149818,1
Shop_149817,1
Shop_155260,
Shop_128687,22
Shop_142091,4
Shop_70542,779
Shop_140054,6
Shop_144223,3
Shop_104177,139
Shop_147192,2
Shop_135151,11
Shop_82198,451
Shop_110662,92
Shop_153289,
Shop_53856,1612
Shop_125532,30
Shop_144517,3
Shop_74815,642
Shop_83504,424
Shop_142483,4
Shop_85073,392
Shop_56391,1440
Shop_61077,1181
Shop_26375,5926
Shop_146584,2
Shop_121545,42
Shop_139776,6
Shop_131598,16
Shop_148866,1
Shop_148508,1
Shop_139545,6
Shop_139348,6
Shop_95354,231
Shop_71664,741
Shop_105744,127
Shop_95168,233
Shop_93892,249
Shop_133548,13
Shop_87784,342
Shop_144005,3
Shop_67432,899
Shop_115252,67
Shop_142688,4
Shop_75935,609
Shop_99875,179
Shop_68216,868
Shop_132376,15
Shop_133637,13
Shop_114264,71
Shop_119734,48
Shop_122381,39
Shop_61388,1165
Shop_90574,297
Shop_131839,16
Shop_107804,111
Shop_141508,5
Shop_105747,127
Shop_163114,
Shop_161062,
Shop_163113,
Shop_94496,242
Shop_66384,940
Shop_77255,572
Shop_136625,9
Shop_149541,1
Shop_96575,216
Shop_99348,184
Shop_147354,2
Shop_141164,5
Shop_107917,110
Shop_135476,11
Shop_143251,3
Shop_160212,
Shop_129462,20
Shop_33495,4083
Shop_49654,1936
Shop_106025,124
Shop_132145,15
Shop_50059,1900
Shop_125413,30
Shop_94070,247
Shop_105585,128
Shop_108022,110
Shop_145039,3
Shop_121228,43
Shop_139314,6
Shop_52785,1690
Shop_86994,355
Shop_132358,15
Shop_159127,
Shop_102250,156
Shop_11718,16400
Shop_83726,419
Shop_88544,329
Shop_129774,20
Shop_146871,2
Shop_137555,8
Shop_143021,4
Shop_159418,
Shop_141372,5
Shop_146699,2
Shop_162789,
Shop_149374,1
Shop_162229,
Shop_141788,4
Shop_144875,3
Shop_36920,3463
Shop_103411,146
Shop_149887,1
Shop_89628,311
Shop_149422,1
Shop_91656,280
Shop_96226,220
Shop_54539,1563
Shop_101811,160
Shop_158780,
Shop_143747,3
Shop_137115,9
Shop_148343,1
Shop_130154,19
Shop_136965,9
Shop_127164,26
Shop_133384,13
Shop_145314,2
Shop_160811,
Shop_109358,101
Shop_73496,682
Shop_94546,241
Shop_88672,327
Shop_154270,
Shop_135366,11
Shop_152167,
Shop_156227,
Shop_150624,1
Shop_152143,
Shop_69894,802
Shop_120528,45
Shop_106726,119
Shop_129741,20
Shop_23426,7036
Shop_142533,4
Shop_162079,
Shop_117705,56
Shop_154145,
Shop_151484,
Shop_146429,2
Shop_164065,
Shop_128330,23
Shop_142470,4
Shop_143247,3
Shop_125704,29
Shop_153838,
Shop_121870,40
Shop_148249,1
Shop_108956,104
Shop_119119,50
Shop_133365,14
Shop_140211,6
Shop_150560,1
Shop_153097,
Shop_47830,2097
Shop_74231,660
Shop_83598,422
Shop_43717,2527
Shop_112625,80
Shop_157173,
Shop_129296,21
Shop_110143,95
Shop_133991,13
Shop_134430,12
Shop_141854,4
Shop_139869,6
Shop_155901,
Shop_28817,5193
Shop_17637,10242
Shop_116783,60
Shop_112520,81
Shop_143499,3
Shop_150094,1
Shop_78908,529
Shop_139802,6
Shop_134161,12
Shop_163087,
Shop_132774,14
Shop_139878,6
Shop_109678,98
Shop_146503,2
Shop_144487,3
Shop_121923,40
Shop_153256,
Shop_164336,
Shop_153559,
Shop_92995,261
Shop_163883,
Shop_154305,
Shop_122976,37
Shop_147579,1
Shop_136034,10
Shop_79586,513
Shop_119755,48
Shop_106406,122
Shop_81388,470
Shop_149245,1
Shop_92576,266
Shop_96609,215
Shop_109354,101
Shop_133155,14
Shop_118558,52
Shop_81119,477
Shop_108658,106
Shop_139335,6
Shop_160232,
Shop_155913,
Shop_145341,2
Shop_141062,5
Shop_160764,
Shop_101746,161
Shop_144412,3
Shop_151166,1
Shop_116179,62
Shop_55120,1524
Shop_139691,6
Shop_57208,1390
Shop_145174,2
Shop_111158,89
Shop_91143,288
Shop_129382,21
Shop_116345,62
Shop_160590,
Shop_101500,163
Shop_156687,
Shop_156148,
Shop_126587,27
Shop_157420,
Shop_160758,
Shop_150571,1
Shop_126395,27
Shop_153513,
Shop_119193,50
Shop_147834,1
Shop_138328,7
Shop_150021,1
Shop_66518,935
Shop_140864,5
Shop_150166,1
Shop_129062,21
Shop_149278,1
Shop_109818,98
Shop_137093,9
Shop_101666,161
Shop_160958,
Shop_124357,33
Shop_122595,38
Shop_125157,30
Shop_141678,5
Shop_27624,5536
Shop_126609,27
Shop_164268,
Shop_116633,60
Shop_147707,1
Shop_139014,7
Shop_164370,
Shop_145804,2
Shop_99570,182
Shop_93957,248
Shop_123996,34
Shop_143604,3
Shop_163112,
Shop_158150,
Shop_163522,
Shop_129139,21
Shop_114018,73
Shop_138875,7
Shop_122685,38
Shop_139669,6
Shop_135184,11
Shop_134777,12
Shop_143692,3
Shop_158990,
Shop_105721,127
Shop_149526,1
Shop_41202,2834
Shop_146569,2
Shop_110043,96
Shop_118487,53
Shop_141600,5
Shop_143581,3
Shop_137321,9
Shop_146232,2
Shop_122819,37
Shop_137238,9
Shop_154553,
Shop_142201,4
Shop_149952,1
Shop_136688,9
Shop_153102,
Shop_98355,195
Shop_154400,
Shop_138331,7
Shop_108768,105
Shop_128698,22
Shop_143713,3
Shop_146747,2
Shop_163656,
Shop_112887,79
Shop_141538,5
Shop_94393,243
Shop_143794,3
Shop_135527,11
Shop_154870,
Shop_142319,4
Shop_134361,12
Shop_99600,182
Shop_148430,1
Shop_144634,3
Shop_132035,16
Shop_122961,37
Shop_97631,203
Shop_109319,101
Shop_134410,12
Shop_124663,32
Shop_144993,3
Shop_146046,2
Shop_157132,
Shop_144531,3
Shop_122702,38
Shop_68269,866
Shop_104607,136
Shop_126651,27
Shop_140679,5
Shop_148458,1
Shop_56849,1412
Shop_147089,2
Shop_110606,92
Shop_148684,1
Shop_123394,36
Shop_130629,18
Shop_123281,36
Shop_107423,114
Shop_140567,5
Shop_131280,17
Shop_131331,17
Shop_144778,3
Shop_133489,13
Shop_160365,
Shop_89216,318
Shop_107262,115
Shop_86782,359
Shop_113581,75
Shop_146143,2
Shop_110149,95
Shop_54206,1587
Shop_161155,
Shop_95441,230
Shop_162061,
Shop_163160,
Shop_125975,28
Shop_145234,2
Shop_123927,34
Shop_140349,6
Shop_141409,5
Shop_143431,3
Shop_113178,77
Shop_90054,305
Shop_160495,
Shop_135953,10
Shop_132054,16
Shop_144585,3
Shop_138819,7
Shop_143242,3
Shop_122059,40
Shop_114039,73
Shop_112534,81
Shop_158656,
Shop_133020,14
Shop_150822,1
Shop_156371,
Shop_156854,
Shop_128188,23
Shop_126460,27
Shop_147634,1
Shop_159384,
Shop_128871,22
Shop_145588,2
Shop_108546,106
Shop_103302,147
Shop_100468,173
Shop_123849,34
Shop_138500,7
Shop_124832,31
Shop_128660,22
Shop_136991,9
Shop_159645,
Shop_103383,146
Shop_161351,
Shop_131610,16
Shop_143504,3
Shop_120762,44
Shop_85951,375
Shop_164313,
Shop_113011,78
Shop_159734,
Shop_138638,7
Shop_135825,10
Shop_138979,7
Shop_160696,
Shop_143835,3
Shop_100847,169
Shop_141288,5
Shop_68294,864
Shop_159897,
Shop_149510,1
Shop_116618,60
Shop_91669,280
Shop_91932,276
Shop_148321,1
Shop_163958,
Shop_130356,19
Shop_156352,
Shop_162281,
Shop_71147,758
Shop_157308,
Shop_148269,1
Shop_157795,
Shop_139344,6
Shop_148490,1
Shop_131752,16
Shop_142334,4
Shop_160655,
Shop_149131,1
Shop_126914,26
Shop_160482,
Shop_147137,2
Shop_99494,183
Shop_148252,1
Shop_124142,33
Shop_105204,131
Shop_161198,
Shop_143909,3
Shop_142260,4
Shop_125241,30
Shop_149304,1
Shop_112960,78
Shop_145818,2
Shop_151846,
Shop_144724,3
Shop_151642,
Shop_147993,1
Shop_64115,1038
Shop_151458,
Shop_100365,174
Shop_157619,
Shop_150168,1
Shop_150746,1
Shop_147580,1
Shop_123426,36
Shop_115581,65
Shop_132806,14
Shop_163386,
Shop_46799,2198
Shop_61623,1154
Shop_66953,918
Shop_72275,722
Shop_76084,605
Shop_79216,522
Shop_85128,391
Shop_87997,338
Shop_89071,320
Shop_96410,218
Shop_98371,195
Shop_99031,188
Shop_100463,173
Shop_101020,168
Shop_102346,155
Shop_102570,153
Shop_103613,144
Shop_106512,121
Shop_107571,113
Shop_109683,98
Shop_113556,75
Shop_113992,73
Shop_114344,71
Shop_114452,70
Shop_114565,70
Shop_114653,70
Shop_116426,61
Shop_116612,60
Shop_116652,60
